innings_id,bowler,team,opponent,venue,pitch_type,match_format,bowling_avg,bowling_sr,bowling_econ,bowling_type,is_home,opponent_strength,overs_bowled,runs_conceded,wickets_taken,maidens,dot_balls
1420,Keshav Maharaj,South Africa,Pakistan,"Shere Bangla Stadium, Dhaka",spin,T20,31.5,38.2,4.8,spin,0,80,2,8,1,0,6
1421,Shadab Khan,Pakistan,Australia,"Hagley Oval, Christchurch",pace,ODI,30.8,36.4,5.2,spin,0,90,9,38,3,4,30
1422,Alzarri Joseph,West Indies,Bangladesh,"R. Premadasa Stadium, Colombo",spin,T20,27.5,30.8,5.3,fast,0,65,4,17,2,0,9
1423,Mitchell Santner,New Zealand,Pakistan,Sydney Cricket Ground,balanced,ODI,35.1,42.3,4.7,spin,0,80,10,59,2,0,28
1424,Dushmantha Chameera,Sri Lanka,Afghanistan,Sydney Cricket Ground,balanced,ODI,29.1,33.8,5.5,fast,0,70,10,60,2,0,21
1425,Rashid Khan,Afghanistan,Bangladesh,"The Oval, London",balanced,T20,18.5,22.3,4.1,spin,0,65,2,6,2,0,5
1426,Jayden Seales,West Indies,New Zealand,"Newlands, Cape Town",pace,T20,30.1,35.2,5.4,fast,0,83,4,17,1,0,9
1427,Naveen-ul-Haq,Afghanistan,India,"Gaddafi Stadium, Lahore",spin,ODI,26.8,30.2,5.3,fast,0,92,7,42,1,0,16
1428,Shakib Al Hasan,Bangladesh,South Africa,"The Oval, London",balanced,T20,33.8,40.2,4.6,spin,0,84,3,7,2,0,9
1429,Pat Cummins,Australia,New Zealand,"MA Chidambaram Stadium, Chennai",spin,ODI,25.7,29.8,5.0,fast,0,83,9,24,4,0,23
1430,Moeen Ali,England,Australia,"R. Premadasa Stadium, Colombo",spin,T20,36.8,43.2,5.3,spin,0,90,4,28,2,0,8
1431,Maheesh Theekshana,Sri Lanka,England,Melbourne Cricket Ground,pace,T20,26.5,30.1,4.8,spin,0,85,4,23,1,0,9
1432,Reece Topley,England,Bangladesh,"Newlands, Cape Town",pace,ODI,26.7,29.8,5.2,fast,0,65,9,50,6,0,23
1433,Lungi Ngidi,South Africa,Sri Lanka,"Newlands, Cape Town",pace,T20,26.3,29.7,5.4,fast,1,72,2,16,2,0,4
1434,Reece Topley,England,Sri Lanka,Melbourne Cricket Ground,pace,ODI,26.7,29.8,5.2,fast,0,72,9,49,4,2,21
1435,Noor Ahmad,Afghanistan,West Indies,"The Oval, London",balanced,T20,27.5,31.8,4.7,spin,0,68,2,19,1,0,6
1436,Jasprit Bumrah,India,West Indies,Sydney Cricket Ground,balanced,T20,24.3,30.2,4.5,fast,0,68,4,37,3,0,6
1437,Shaheen Afridi,Pakistan,South Africa,Dubai International Stadium,spin,T20,24.1,27.5,5.1,fast,0,84,4,32,2,0,7
1438,Trent Boult,New Zealand,West Indies,"M. Chinnaswamy Stadium, Bangalore",batting,T20,25.6,29.1,5.1,fast,0,68,3,24,2,0,5
1439,Jasprit Bumrah,India,Bangladesh,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,24.3,30.2,4.5,fast,1,65,10,88,6,2,14
1440,Glenn Maxwell,Australia,West Indies,"Kensington Oval, Barbados",batting,ODI,42.1,52.3,5.5,spin,0,68,8,39,4,2,16
1441,Mark Wood,England,Bangladesh,"Newlands, Cape Town",pace,ODI,28.9,31.2,5.6,fast,0,65,8,37,6,0,25
1442,Lockie Ferguson,New Zealand,India,"Eden Gardens, Kolkata",balanced,T20,24.5,26.4,5.3,fast,0,92,3,26,1,0,5
1443,Haris Rauf,Pakistan,England,"R. Premadasa Stadium, Colombo",spin,T20,27.3,30.1,5.6,fast,0,85,3,25,1,0,4
1444,Jason Holder,West Indies,India,Sydney Cricket Ground,balanced,ODI,31.2,37.5,5.0,fast,0,92,8,35,4,0,18
1445,Shaheen Afridi,Pakistan,New Zealand,Dubai International Stadium,spin,ODI,24.1,27.5,5.1,fast,0,83,7,54,3,0,15
1446,Kuldeep Yadav,India,New Zealand,"R. Premadasa Stadium, Colombo",spin,ODI,27.8,33.5,5.1,spin,0,83,7,28,4,1,24
1447,Dilshan Madushanka,Sri Lanka,England,"Lord's, London",pace,T20,28.3,32.5,5.3,fast,0,85,4,28,2,0,8
1448,Mitchell Starc,Australia,Sri Lanka,Sydney Cricket Ground,balanced,T20,24.8,27.3,5.3,fast,1,72,4,34,3,0,6
1449,Taskin Ahmed,Bangladesh,India,"Lord's, London",pace,T20,30.5,35.8,5.4,fast,0,92,4,27,3,0,11
1450,Rashid Khan,Afghanistan,West Indies,"Hagley Oval, Christchurch",pace,T20,18.5,22.3,4.1,spin,0,68,4,9,3,0,11
1451,Shoriful Islam,Bangladesh,West Indies,Sydney Cricket Ground,balanced,T20,31.4,36.2,5.5,fast,0,68,4,21,0,0,10
1452,Alzarri Joseph,West Indies,Sri Lanka,"MA Chidambaram Stadium, Chennai",spin,T20,27.5,30.8,5.3,fast,0,72,4,23,1,0,11
1453,Gudakesh Motie,West Indies,England,"Shere Bangla Stadium, Dhaka",spin,T20,28.5,32.6,4.5,spin,0,85,3,4,1,0,10
1454,Fazalhaq Farooqi,Afghanistan,England,"Hagley Oval, Christchurch",pace,T20,24.2,26.8,5.1,fast,0,85,3,10,1,0,9
1455,Dilshan Madushanka,Sri Lanka,South Africa,"Hagley Oval, Christchurch",pace,ODI,28.3,32.5,5.3,fast,0,84,9,45,3,1,27
1456,Shoriful Islam,Bangladesh,England,"Newlands, Cape Town",pace,T20,31.4,36.2,5.5,fast,0,85,4,13,2,0,10
1457,Moeen Ali,England,Pakistan,"The Oval, London",balanced,T20,36.8,43.2,5.3,spin,1,80,4,30,2,0,8
1458,Adil Rashid,England,Sri Lanka,"Kensington Oval, Barbados",batting,T20,33.5,38.7,5.4,spin,0,72,2,14,1,0,3
1459,Keshav Maharaj,South Africa,Australia,"M. Chinnaswamy Stadium, Bangalore",batting,T20,31.5,38.2,4.8,spin,0,90,4,19,2,0,10
1460,Mustafizur Rahman,Bangladesh,Afghanistan,Melbourne Cricket Ground,pace,T20,28.7,33.1,5.0,fast,0,70,2,16,2,0,6
1461,Dushmantha Chameera,Sri Lanka,New Zealand,"R. Premadasa Stadium, Colombo",spin,ODI,29.1,33.8,5.5,fast,1,83,7,23,5,0,13
1462,Taskin Ahmed,Bangladesh,India,Sydney Cricket Ground,balanced,T20,30.5,35.8,5.4,fast,0,92,4,20,2,0,9
1463,Akeal Hosein,West Indies,India,"R. Premadasa Stadium, Colombo",spin,ODI,29.8,34.1,4.8,spin,0,92,9,36,5,2,27
1464,Taskin Ahmed,Bangladesh,Pakistan,Sydney Cricket Ground,balanced,T20,30.5,35.8,5.4,fast,0,80,3,29,2,0,4
1465,Fazalhaq Farooqi,Afghanistan,Sri Lanka,"MA Chidambaram Stadium, Chennai",spin,ODI,24.2,26.8,5.1,fast,0,72,10,44,4,1,32
1466,Fazalhaq Farooqi,Afghanistan,Australia,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,24.2,26.8,5.1,fast,0,90,6,36,3,0,15
1467,Jayden Seales,West Indies,New Zealand,"Lord's, London",pace,ODI,30.1,35.2,5.4,fast,0,83,10,35,7,0,30
1468,Reece Topley,England,Pakistan,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,26.7,29.8,5.2,fast,0,80,9,37,6,2,31
1469,Noor Ahmad,Afghanistan,South Africa,"Gaddafi Stadium, Lahore",spin,ODI,27.5,31.8,4.7,spin,0,84,8,27,7,1,24
1470,Mustafizur Rahman,Bangladesh,England,"Lord's, London",pace,ODI,28.7,33.1,5.0,fast,0,85,8,11,4,0,31
1471,Jayden Seales,West Indies,India,"Eden Gardens, Kolkata",balanced,ODI,30.1,35.2,5.4,fast,0,92,9,57,3,1,23
1472,Chris Woakes,England,Afghanistan,"Kensington Oval, Barbados",batting,T20,30.2,35.1,5.1,fast,0,70,4,28,2,0,9
1473,Taskin Ahmed,Bangladesh,Sri Lanka,"Shere Bangla Stadium, Dhaka",spin,ODI,30.5,35.8,5.4,fast,1,72,9,48,4,1,24
1474,Mehidy Hasan Miraz,Bangladesh,India,Sydney Cricket Ground,balanced,ODI,32.1,38.5,4.7,spin,0,92,10,41,3,2,33
1475,Kagiso Rabada,South Africa,New Zealand,"Shere Bangla Stadium, Dhaka",spin,T20,25.4,28.6,5.2,fast,0,83,3,34,2,0,4
1476,Taskin Ahmed,Bangladesh,Afghanistan,Dubai International Stadium,spin,T20,30.5,35.8,5.4,fast,0,70,4,30,2,0,8
1477,Mitchell Santner,New Zealand,England,"Wankhede Stadium, Mumbai",batting,T20,35.1,42.3,4.7,spin,0,85,3,33,0,0,5
1478,Dunith Wellalage,Sri Lanka,Australia,"The Oval, London",balanced,ODI,30.2,35.4,4.9,spin,0,90,10,47,3,2,32
1479,Trent Boult,New Zealand,South Africa,"Lord's, London",pace,T20,25.6,29.1,5.1,fast,0,84,2,11,2,0,4
1480,Dushmantha Chameera,Sri Lanka,Pakistan,"R. Premadasa Stadium, Colombo",spin,ODI,29.1,33.8,5.5,fast,1,80,8,46,3,0,18
1481,Shaheen Afridi,Pakistan,India,Dubai International Stadium,spin,ODI,24.1,27.5,5.1,fast,0,92,7,36,3,1,14
1482,Dunith Wellalage,Sri Lanka,West Indies,"Newlands, Cape Town",pace,ODI,30.2,35.4,4.9,spin,0,68,5,17,2,1,17
1483,Adam Zampa,Australia,Sri Lanka,"Lord's, London",pace,T20,29.3,35.2,5.1,spin,0,72,4,30,1,0,8
1484,Noor Ahmad,Afghanistan,South Africa,"Eden Gardens, Kolkata",balanced,ODI,27.5,31.8,4.7,spin,0,84,9,58,2,0,23
1485,Jason Holder,West Indies,Sri Lanka,"M. Chinnaswamy Stadium, Bangalore",batting,T20,31.2,37.5,5.0,fast,0,72,2,14,1,0,3
1486,Mitchell Starc,Australia,England,Melbourne Cricket Ground,pace,T20,24.8,27.3,5.3,fast,1,85,2,10,1,0,3
1487,Chris Woakes,England,West Indies,"M. Chinnaswamy Stadium, Bangalore",batting,ODI,30.2,35.1,5.1,fast,0,68,7,28,7,0,21
1488,Taskin Ahmed,Bangladesh,Sri Lanka,"The Oval, London",balanced,ODI,30.5,35.8,5.4,fast,0,72,7,38,2,3,17
1489,Mohammed Siraj,India,Bangladesh,"MA Chidambaram Stadium, Chennai",spin,ODI,28.4,31.9,5.4,fast,1,65,8,31,6,0,20
1490,Lungi Ngidi,South Africa,Bangladesh,"Shere Bangla Stadium, Dhaka",spin,ODI,26.3,29.7,5.4,fast,0,65,10,64,6,1,25
1491,Trent Boult,New Zealand,Bangladesh,"Kensington Oval, Barbados",batting,ODI,25.6,29.1,5.1,fast,0,65,10,66,5,2,26
1492,Ravindra Jadeja,India,South Africa,"Newlands, Cape Town",pace,ODI,32.5,42.1,4.8,spin,0,84,7,38,1,1,21
1493,Jasprit Bumrah,India,New Zealand,"MA Chidambaram Stadium, Chennai",spin,T20,24.3,30.2,4.5,fast,1,83,4,30,1,0,11
1494,Taskin Ahmed,Bangladesh,India,"Gaddafi Stadium, Lahore",spin,ODI,30.5,35.8,5.4,fast,0,92,7,36,1,1,18
1495,Mohammed Shami,India,South Africa,"M. Chinnaswamy Stadium, Bangalore",batting,T20,26.1,28.7,5.2,fast,1,84,4,15,0,0,8
1496,Maheesh Theekshana,Sri Lanka,England,Sydney Cricket Ground,balanced,ODI,26.5,30.1,4.8,spin,0,85,6,28,2,0,17
1497,Gudakesh Motie,West Indies,South Africa,"Kensington Oval, Barbados",batting,T20,28.5,32.6,4.5,spin,1,84,4,31,2,0,7
1498,Shakib Al Hasan,Bangladesh,Afghanistan,"Shere Bangla Stadium, Dhaka",spin,T20,33.8,40.2,4.6,spin,1,70,3,19,3,0,5
1499,Moeen Ali,England,Bangladesh,Sydney Cricket Ground,balanced,ODI,36.8,43.2,5.3,spin,0,65,7,34,3,1,21
1500,Shadab Khan,Pakistan,India,"Hagley Oval, Christchurch",pace,ODI,30.8,36.4,5.2,spin,0,92,6,36,4,0,18
1501,Tim Southee,New Zealand,Australia,"Hagley Oval, Christchurch",pace,ODI,29.8,33.5,5.4,fast,1,90,10,31,6,2,28
1502,Chris Woakes,England,Sri Lanka,Sydney Cricket Ground,balanced,ODI,30.2,35.1,5.1,fast,0,72,9,68,2,1,14
1503,Mustafizur Rahman,Bangladesh,Sri Lanka,Dubai International Stadium,spin,T20,28.7,33.1,5.0,fast,0,72,4,32,3,0,7
1504,Adam Zampa,Australia,Afghanistan,Melbourne Cricket Ground,pace,ODI,29.3,35.2,5.1,spin,1,70,8,49,6,0,17
1505,Naseem Shah,Pakistan,India,"Wankhede Stadium, Mumbai",batting,ODI,28.5,32.1,5.3,fast,0,92,10,61,1,0,20
1506,Kuldeep Yadav,India,West Indies,Sydney Cricket Ground,balanced,T20,27.8,33.5,5.1,spin,0,68,4,19,2,0,11
1507,Ravindra Jadeja,India,Afghanistan,"Hagley Oval, Christchurch",pace,T20,32.5,42.1,4.8,spin,0,70,2,21,2,0,3
1508,Noor Ahmad,Afghanistan,Sri Lanka,"Kensington Oval, Barbados",batting,ODI,27.5,31.8,4.7,spin,0,72,5,33,2,1,10
1509,Mujeeb Ur Rahman,Afghanistan,New Zealand,Melbourne Cricket Ground,pace,ODI,25.1,29.5,4.5,spin,0,83,9,46,6,0,22
1510,Ravindra Jadeja,India,Bangladesh,"Gaddafi Stadium, Lahore",spin,T20,32.5,42.1,4.8,spin,0,65,4,22,2,0,11
1511,Dushmantha Chameera,Sri Lanka,West Indies,"The Oval, London",balanced,ODI,29.1,33.8,5.5,fast,0,68,9,43,4,0,24
1512,Kagiso Rabada,South Africa,Sri Lanka,"The Oval, London",balanced,ODI,25.4,28.6,5.2,fast,0,72,10,40,5,1,26
1513,Maheesh Theekshana,Sri Lanka,India,"The Oval, London",balanced,ODI,26.5,30.1,4.8,spin,0,92,9,45,1,2,30
1514,Lungi Ngidi,South Africa,West Indies,"Eden Gardens, Kolkata",balanced,ODI,26.3,29.7,5.4,fast,0,68,9,42,4,0,28
1515,Ravindra Jadeja,India,Sri Lanka,Sydney Cricket Ground,balanced,T20,32.5,42.1,4.8,spin,0,72,4,25,1,0,8
1516,Akeal Hosein,West Indies,Pakistan,"Lord's, London",pace,ODI,29.8,34.1,4.8,spin,0,80,8,4,6,1,29
1517,Glenn Maxwell,Australia,Pakistan,"Gaddafi Stadium, Lahore",spin,ODI,42.1,52.3,5.5,spin,0,80,8,32,4,1,22
1518,Adil Rashid,England,Australia,Dubai International Stadium,spin,T20,33.5,38.7,5.4,spin,0,90,2,14,0,0,4
1519,Naseem Shah,Pakistan,India,"The Oval, London",balanced,T20,28.5,32.1,5.3,fast,0,92,3,38,1,0,3
1520,Marco Jansen,South Africa,Afghanistan,"Eden Gardens, Kolkata",balanced,T20,27.1,31.4,5.0,fast,0,70,3,26,1,0,7
1521,Glenn Maxwell,Australia,Bangladesh,"Newlands, Cape Town",pace,T20,42.1,52.3,5.5,spin,0,65,4,22,0,0,7
1522,Matt Henry,New Zealand,South Africa,"Lord's, London",pace,T20,26.2,28.8,5.0,fast,0,84,4,23,3,0,8
1523,Gudakesh Motie,West Indies,Sri Lanka,"Shere Bangla Stadium, Dhaka",spin,ODI,28.5,32.6,4.5,spin,0,72,8,41,5,0,25
1524,Moeen Ali,England,Afghanistan,"Hagley Oval, Christchurch",pace,ODI,36.8,43.2,5.3,spin,0,70,6,41,1,0,16
1525,Jasprit Bumrah,India,Bangladesh,"Newlands, Cape Town",pace,T20,24.3,30.2,4.5,fast,0,65,2,19,1,0,5
1526,Akeal Hosein,West Indies,Australia,"MA Chidambaram Stadium, Chennai",spin,ODI,29.8,34.1,4.8,spin,0,90,9,40,6,2,29
1527,Akeal Hosein,West Indies,Bangladesh,"Wankhede Stadium, Mumbai",batting,ODI,29.8,34.1,4.8,spin,0,65,5,30,2,0,9
1528,Mohammed Shami,India,South Africa,"Gaddafi Stadium, Lahore",spin,ODI,26.1,28.7,5.2,fast,0,84,9,63,3,0,17
1529,Matt Henry,New Zealand,Bangladesh,"The Oval, London",balanced,T20,26.2,28.8,5.0,fast,0,65,3,10,2,0,6
1530,Mitchell Starc,Australia,West Indies,"The Oval, London",balanced,T20,24.8,27.3,5.3,fast,0,68,4,31,1,0,8
1531,Maheesh Theekshana,Sri Lanka,Afghanistan,"Shere Bangla Stadium, Dhaka",spin,ODI,26.5,30.1,4.8,spin,0,70,10,42,7,0,31
1532,Pat Cummins,Australia,Sri Lanka,Melbourne Cricket Ground,pace,ODI,25.7,29.8,5.0,fast,1,72,10,32,6,2,36
1533,Maheesh Theekshana,Sri Lanka,India,"R. Premadasa Stadium, Colombo",spin,T20,26.5,30.1,4.8,spin,1,92,3,19,3,0,7
1534,Kuldeep Yadav,India,Australia,"Hagley Oval, Christchurch",pace,T20,27.8,33.5,5.1,spin,0,90,2,16,2,0,4
1535,Wanindu Hasaranga,Sri Lanka,South Africa,"The Oval, London",balanced,T20,24.8,28.2,5.0,spin,0,84,3,22,1,0,6
1536,Jayden Seales,West Indies,Afghanistan,Melbourne Cricket Ground,pace,T20,30.1,35.2,5.4,fast,0,70,3,19,2,0,7
1537,Dilshan Madushanka,Sri Lanka,Afghanistan,"Eden Gardens, Kolkata",balanced,T20,28.3,32.5,5.3,fast,0,70,4,34,3,0,9
1538,Mohammad Nawaz,Pakistan,England,"Shere Bangla Stadium, Dhaka",spin,ODI,35.2,41.5,5.0,spin,0,85,9,49,6,0,21
1539,Fazalhaq Farooqi,Afghanistan,India,"The Oval, London",balanced,ODI,24.2,26.8,5.1,fast,0,92,10,55,3,0,22
1540,Adam Zampa,Australia,Sri Lanka,"Gaddafi Stadium, Lahore",spin,ODI,29.3,35.2,5.1,spin,0,72,5,13,3,0,17
1541,Mitchell Starc,Australia,Sri Lanka,"Shere Bangla Stadium, Dhaka",spin,ODI,24.8,27.3,5.3,fast,0,72,9,41,6,1,24
1542,Mohammed Shami,India,Sri Lanka,"Shere Bangla Stadium, Dhaka",spin,ODI,26.1,28.7,5.2,fast,0,72,10,32,7,1,29
1543,Shakib Al Hasan,Bangladesh,Pakistan,"Lord's, London",pace,ODI,33.8,40.2,4.6,spin,0,80,8,39,2,1,20
1544,Ravindra Jadeja,India,Bangladesh,"Kensington Oval, Barbados",batting,ODI,32.5,42.1,4.8,spin,0,65,10,43,5,0,36
1545,Anrich Nortje,South Africa,Sri Lanka,"Newlands, Cape Town",pace,ODI,24.8,26.9,5.5,fast,1,72,7,28,7,0,21
1546,Jayden Seales,West Indies,India,Melbourne Cricket Ground,pace,T20,30.1,35.2,5.4,fast,0,92,2,14,2,0,4
1547,Kagiso Rabada,South Africa,Australia,"Newlands, Cape Town",pace,T20,25.4,28.6,5.2,fast,1,90,4,33,3,0,8
1548,Mehidy Hasan Miraz,Bangladesh,South Africa,"MA Chidambaram Stadium, Chennai",spin,T20,32.1,38.5,4.7,spin,0,84,4,33,1,0,8
1549,Mitchell Santner,New Zealand,West Indies,"Kensington Oval, Barbados",batting,T20,35.1,42.3,4.7,spin,0,68,3,20,2,0,5
1550,Rashid Khan,Afghanistan,Sri Lanka,Melbourne Cricket Ground,pace,ODI,18.5,22.3,4.1,spin,0,72,8,31,5,1,22
1551,Mohammed Siraj,India,Bangladesh,"Wankhede Stadium, Mumbai",batting,T20,28.4,31.9,5.4,fast,1,65,3,20,3,0,5
1552,Lockie Ferguson,New Zealand,Australia,"MA Chidambaram Stadium, Chennai",spin,T20,24.5,26.4,5.3,fast,0,90,4,15,3,0,12
1553,Keshav Maharaj,South Africa,Sri Lanka,"The Oval, London",balanced,T20,31.5,38.2,4.8,spin,0,72,4,23,1,0,9
1554,Akeal Hosein,West Indies,Pakistan,Sydney Cricket Ground,balanced,T20,29.8,34.1,4.8,spin,0,80,3,22,2,0,5
1555,Pat Cummins,Australia,Sri Lanka,Dubai International Stadium,spin,ODI,25.7,29.8,5.0,fast,0,72,9,40,5,2,26
1556,Dushmantha Chameera,Sri Lanka,India,"Kensington Oval, Barbados",batting,T20,29.1,33.8,5.5,fast,0,92,3,25,0,0,5
1557,Trent Boult,New Zealand,England,Melbourne Cricket Ground,pace,T20,25.6,29.1,5.1,fast,0,85,4,27,2,0,9
1558,Dunith Wellalage,Sri Lanka,Australia,"Newlands, Cape Town",pace,ODI,30.2,35.4,4.9,spin,0,90,8,46,3,2,18
1559,Rashid Khan,Afghanistan,Pakistan,Dubai International Stadium,spin,ODI,18.5,22.3,4.1,spin,0,80,8,32,5,1,20
1560,Rashid Khan,Afghanistan,West Indies,"MA Chidambaram Stadium, Chennai",spin,ODI,18.5,22.3,4.1,spin,0,68,10,32,7,3,29
1561,Tim Southee,New Zealand,South Africa,"Wankhede Stadium, Mumbai",batting,T20,29.8,33.5,5.4,fast,0,84,4,35,0,0,7
1562,Akeal Hosein,West Indies,New Zealand,"Hagley Oval, Christchurch",pace,T20,29.8,34.1,4.8,spin,0,83,4,12,2,0,10
1563,Adil Rashid,England,West Indies,"Lord's, London",pace,T20,33.5,38.7,5.4,spin,1,68,4,16,1,0,13
1564,Mitchell Santner,New Zealand,West Indies,"Kensington Oval, Barbados",batting,ODI,35.1,42.3,4.7,spin,0,68,10,41,2,1,30
1565,Keshav Maharaj,South Africa,Pakistan,Dubai International Stadium,spin,T20,31.5,38.2,4.8,spin,0,80,3,17,2,0,8
1566,Keshav Maharaj,South Africa,England,"Gaddafi Stadium, Lahore",spin,ODI,31.5,38.2,4.8,spin,0,85,8,31,3,0,28
1567,Naveen-ul-Haq,Afghanistan,West Indies,"Kensington Oval, Barbados",batting,T20,26.8,30.2,5.3,fast,0,68,4,24,3,0,7
1568,Mustafizur Rahman,Bangladesh,Australia,"Eden Gardens, Kolkata",balanced,T20,28.7,33.1,5.0,fast,0,90,4,24,1,0,8
1569,Mark Wood,England,West Indies,"R. Premadasa Stadium, Colombo",spin,T20,28.9,31.2,5.6,fast,0,68,4,28,2,0,5
1570,Fazalhaq Farooqi,Afghanistan,West Indies,Melbourne Cricket Ground,pace,T20,24.2,26.8,5.1,fast,0,68,3,22,3,0,7
1571,Kuldeep Yadav,India,England,"Newlands, Cape Town",pace,T20,27.8,33.5,5.1,spin,0,85,3,21,0,0,6
1572,Trent Boult,New Zealand,West Indies,"R. Premadasa Stadium, Colombo",spin,T20,25.6,29.1,5.1,fast,0,68,4,27,2,0,8
1573,Shakib Al Hasan,Bangladesh,Sri Lanka,"R. Premadasa Stadium, Colombo",spin,ODI,33.8,40.2,4.6,spin,0,72,8,36,7,1,23
1574,Pat Cummins,Australia,South Africa,"M. Chinnaswamy Stadium, Bangalore",batting,T20,25.7,29.8,5.0,fast,0,84,4,23,3,0,10
1575,Kagiso Rabada,South Africa,Pakistan,"Eden Gardens, Kolkata",balanced,T20,25.4,28.6,5.2,fast,0,80,4,15,2,0,12
1576,Kagiso Rabada,South Africa,Afghanistan,Sydney Cricket Ground,balanced,ODI,25.4,28.6,5.2,fast,0,70,6,29,3,1,16
1577,Moeen Ali,England,New Zealand,Dubai International Stadium,spin,T20,36.8,43.2,5.3,spin,0,83,4,25,4,0,7
1578,Mujeeb Ur Rahman,Afghanistan,Sri Lanka,"R. Premadasa Stadium, Colombo",spin,T20,25.1,29.5,4.5,spin,0,72,4,23,2,0,10
1579,Lockie Ferguson,New Zealand,India,"Shere Bangla Stadium, Dhaka",spin,T20,24.5,26.4,5.3,fast,0,92,2,13,2,0,4
1580,Mark Wood,England,South Africa,"The Oval, London",balanced,ODI,28.9,31.2,5.6,fast,1,84,6,27,4,1,15
1581,Mohammad Nawaz,Pakistan,Sri Lanka,"Wankhede Stadium, Mumbai",batting,ODI,35.2,41.5,5.0,spin,0,72,10,62,3,0,23
1582,Kagiso Rabada,South Africa,Sri Lanka,"MA Chidambaram Stadium, Chennai",spin,T20,25.4,28.6,5.2,fast,0,72,3,11,2,0,6
1583,Tim Southee,New Zealand,Afghanistan,"Newlands, Cape Town",pace,T20,29.8,33.5,5.4,fast,0,70,4,27,3,0,7
1584,Akeal Hosein,West Indies,Sri Lanka,"Shere Bangla Stadium, Dhaka",spin,T20,29.8,34.1,4.8,spin,0,72,3,16,3,0,9
1585,Keshav Maharaj,South Africa,Bangladesh,"Newlands, Cape Town",pace,T20,31.5,38.2,4.8,spin,1,65,4,24,4,0,7
1586,Lockie Ferguson,New Zealand,Afghanistan,Melbourne Cricket Ground,pace,T20,24.5,26.4,5.3,fast,0,70,3,20,2,0,4
1587,Gudakesh Motie,West Indies,Pakistan,"R. Premadasa Stadium, Colombo",spin,ODI,28.5,32.6,4.5,spin,0,80,10,61,5,3,29
1588,Dilshan Madushanka,Sri Lanka,West Indies,"Shere Bangla Stadium, Dhaka",spin,T20,28.3,32.5,5.3,fast,0,68,4,42,2,0,4
1589,Noor Ahmad,Afghanistan,Pakistan,"The Oval, London",balanced,ODI,27.5,31.8,4.7,spin,0,80,10,43,3,1,23
1590,Gudakesh Motie,West Indies,New Zealand,"Hagley Oval, Christchurch",pace,T20,28.5,32.6,4.5,spin,0,83,3,10,0,0,9
1591,Shaheen Afridi,Pakistan,India,"Kensington Oval, Barbados",batting,ODI,24.1,27.5,5.1,fast,0,92,6,33,1,0,15
1592,Maheesh Theekshana,Sri Lanka,Afghanistan,"R. Premadasa Stadium, Colombo",spin,T20,26.5,30.1,4.8,spin,1,70,3,7,1,0,9
1593,Akeal Hosein,West Indies,South Africa,Dubai International Stadium,spin,T20,29.8,34.1,4.8,spin,0,84,4,19,1,0,12
1594,Maheesh Theekshana,Sri Lanka,Bangladesh,Sydney Cricket Ground,balanced,T20,26.5,30.1,4.8,spin,0,65,2,13,1,0,2
1595,Jasprit Bumrah,India,Sri Lanka,"R. Premadasa Stadium, Colombo",spin,T20,24.3,30.2,4.5,fast,0,72,3,14,1,0,6
1596,Tim Southee,New Zealand,Pakistan,"Eden Gardens, Kolkata",balanced,T20,29.8,33.5,5.4,fast,0,80,4,21,3,0,11
1597,Mark Wood,England,Sri Lanka,"The Oval, London",balanced,T20,28.9,31.2,5.6,fast,1,72,4,28,3,0,7
1598,Wanindu Hasaranga,Sri Lanka,India,Sydney Cricket Ground,balanced,ODI,24.8,28.2,5.0,spin,0,92,10,64,1,1,20
1599,Josh Hazlewood,Australia,New Zealand,"Hagley Oval, Christchurch",pace,T20,25.1,30.5,4.7,fast,0,83,3,17,3,0,6
1600,Alzarri Joseph,West Indies,Pakistan,"Shere Bangla Stadium, Dhaka",spin,ODI,27.5,30.8,5.3,fast,0,80,10,32,5,1,34
1601,Dushmantha Chameera,Sri Lanka,England,"Wankhede Stadium, Mumbai",batting,T20,29.1,33.8,5.5,fast,0,85,4,28,1,0,7
1602,Jason Holder,West Indies,Australia,Melbourne Cricket Ground,pace,T20,31.2,37.5,5.0,fast,0,90,2,3,1,0,6
1603,Pat Cummins,Australia,England,Melbourne Cricket Ground,pace,T20,25.7,29.8,5.0,fast,1,85,4,24,4,0,8
1604,Trent Boult,New Zealand,Pakistan,"Hagley Oval, Christchurch",pace,T20,25.6,29.1,5.1,fast,1,80,4,31,0,0,6
1605,Jasprit Bumrah,India,Afghanistan,"Kensington Oval, Barbados",batting,ODI,24.3,30.2,4.5,fast,0,70,5,29,2,2,14
1606,Tim Southee,New Zealand,South Africa,"Kensington Oval, Barbados",batting,T20,29.8,33.5,5.4,fast,0,84,2,20,1,0,4
1607,Naveen-ul-Haq,Afghanistan,South Africa,"Lord's, London",pace,T20,26.8,30.2,5.3,fast,0,84,4,21,2,0,10
1608,Adil Rashid,England,South Africa,"MA Chidambaram Stadium, Chennai",spin,ODI,33.5,38.7,5.4,spin,0,84,7,33,4,0,18
1609,Fazalhaq Farooqi,Afghanistan,South Africa,"MA Chidambaram Stadium, Chennai",spin,T20,24.2,26.8,5.1,fast,0,84,4,12,2,0,11
